I, M, W, S, MW, MS, WS, MWS, ,Tp1, Tp2, Tp3, MeanTP,Rt1, Rt2, Rt3, MeanRt
1,-1,-1,-1,1,1,1,-1, ,13953,12840,15466,14086,13.93,15.24,12.5,13.89
1,1,-1,-1,-1,-1,1,1, ,24743,24128,24870,24580,7.86,8.29,7.79,7.98
1,-1,1,-1,-1,1,-1,1, ,25449,26426,26495,26123,7.56,7.28,7.26,7.37
1,1,1,-1,1,-1,-1,-1, ,39311,39153,38741,39068,4.92,4.95,4.99,4.95
1,-1,-1,1,1,-1,-1,1, ,13372,12284,12492,12716,14.44,15.74,15.49,15.22
1,1,-1,1,-1,1,-1,-1, ,23454,23212,23613,23426,8.26,8.31,8.19,8.25
1,-1,1,1,-1,-1,1,-1, ,23818,23794,23995,23869,8.08,8.08,8.02,8.06
1,1,1,1,1,1,1,1, ,37876,37433,37030,37446,5.23,5.16,5.22,5.2
