I, M, W, S, MW, MS, WS, MWS, ,Tp1, Tp2, Tp3, MeanTP,Rt1, Rt2, Rt3, MeanRt
1,-1,-1,-1,1,1,1,-1, ,10242,10468,9833,10181,18.84,18.51,19.69,19.01
1,1,-1,-1,-1,-1,1,1, ,18649,19803,19913,19455,10.39,9.75,9.73,9.96
1,-1,1,-1,-1,1,-1,1, ,22298,21999,21340,21879,8.63,8.75,9.02,8.8
1,1,1,-1,1,-1,-1,-1, ,31739,32247,31454,31813,6.08,6.01,6.14,6.08
1,-1,-1,1,1,-1,-1,1, ,8635,8105,8781,8507,22.3,23.77,22.09,22.72
1,1,-1,1,-1,1,-1,-1, ,16975,17327,17546,17282,11.38,11.18,10.99,11.18
1,-1,1,1,-1,-1,1,-1, ,17984,18205,18286,18158,10.73,10.57,10.51,10.6
1,1,1,1,1,1,1,1, ,28305,29194,28069,28522,6.87,6.64,6.85,6.79
