
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  98   1   0   0|   0  2048B|  41k  497k|   0     0 |  18   611 |0.01 0.08 0.08| 199M 41.9M  296M 1129M
  1   1  98   1   0   0|   0  2048B|  41k  489k|   0     0 |  18   613 |0.01 0.08 0.08| 199M 41.9M  296M 1129M
  1   1  98   0   0   0|   0  2731B|  40k  491k|   0     0 |  18   602 |0.01 0.08 0.08| 199M 41.9M  296M 1129M
  1   0  98   1   0   0|   0  3413B|  41k  484k|   0     0 |  18   596 |0.01 0.08 0.08| 199M 41.9M  296M 1129M
  1   1  97   0   0   0|   0  2048B|  41k  504k|   0     0 |  18   632 |0.01 0.08 0.08| 199M 41.9M  296M 1129M
  1   1  98   0   0   0|   0  3413B|  42k  506k|   0     0 |  18   663 |   0 0.08 0.08| 199M 42.0M  296M 1129M
  0   1  98   1   0   0|   0  2048B|  41k  509k|   0     0 |  18   652 |   0 0.07 0.08| 199M 42.0M  296M 1129M
  1   1  98   1   0   0|   0  2048B|  41k  509k|   0     0 |  18   596 |   0 0.07 0.08| 199M 42.0M  296M 1129M
  1   1  98   0   0   0|   0  3413B|  26k  309k|   0     0 |  18   379 |   0 0.07 0.08| 199M 42.0M  296M 1129M
 17   3  80   0   0   0|   0  3413B|3444B 1834B|   0     0 |  18   170 |   0 0.07 0.08| 202M 42.0M  296M 1125M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   3  91   1   0   1|  17k   51k|   0     0 |   0     0 |  18  1845 |0.08 0.08 0.08| 199M 42.0M  298M 1127M
  1   1  98   0   0   0|   0  7509B| 189k   13k|   0     0 |  18   247 |0.08 0.08 0.08| 199M 42.0M  298M 1127M
  1   1  97   0   0   1|   0  2048B| 527k   33k|   0     0 |  18   652 |0.07 0.08 0.08| 199M 42.0M  298M 1127M
  1   1  95   1   0   1|   0  2731B| 529k   34k|   0     0 |  18   647 |0.14 0.10 0.09| 199M 42.0M  298M 1127M
  1   1  97   0   0   1|   0  2048B| 531k   34k|   0     0 |  18   648 |0.12 0.09 0.09| 199M 42.0M  298M 1127M
  1   1  97   0   0   1|   0  6144B| 531k   34k|   0     0 |  18   637 |0.11 0.09 0.09| 199M 42.0M  298M 1126M
  1   1  97   0   0   1|   0  2048B| 540k   34k|   0     0 |  18   658 |0.10 0.09 0.09| 199M 42.0M  298M 1127M
  1   0  97   0   0   1|   0  3413B| 541k   34k|   0     0 |  18   653 |0.09 0.09 0.09| 199M 42.1M  298M 1126M
  1   1  97   0   0   1|   0  2731B| 541k   35k|   0     0 |  18   695 |0.09 0.09 0.09| 199M 42.1M  298M 1126M
  1   1  97   1   0   1|   0  2048B| 539k   34k|   0     0 |  18   649 |0.07 0.08 0.08| 199M 42.1M  298M 1126M
  1   1  97   0   0   1|   0  2048B| 538k   34k|   0     0 |  18   623 |0.07 0.08 0.08| 199M 42.1M  298M 1126M
  1   1  98   0   0   0|   0  2731B| 509k   33k|   0     0 |  18   578 |0.06 0.08 0.08| 199M 42.1M  298M 1126M
  0   0  99   0   0   0|   0  2048B|1917B  848B|   0     0 |  18    33 |0.06 0.08 0.08| 199M 42.1M  298M 1126M
  1   0  99   0   0   0|   0  4779B|3213B 1403B|   0     0 |  18    54 |0.05 0.08 0.08| 199M 42.1M  298M 1126M
  1   1  98   0   0   1|   0  2048B|  46k  327k|   0     0 |  18   432 |0.04 0.07 0.08| 199M 42.1M  298M 1126M
  1   1  94   2   0   2|   0  2731B|  67k  491k|   0     0 |  18   657 |0.04 0.07 0.08| 199M 42.1M  298M 1126M
  1   1  96   0   0   2|   0  2731B|  67k  488k|   0     0 |  18   648 |0.04 0.07 0.08| 199M 42.1M  298M 1126M
  1   2  95   0   0   2|   0  4096B|  68k  493k|   0     0 |  18   647 |0.03 0.07 0.08| 199M 42.1M  298M 1126M
  1   1  95   0   0   2|   0  2048B|  68k  490k|   0     0 |  18   615 |0.03 0.07 0.08| 199M 42.1M  298M 1126M
  1   1  96   0   0   1|   0  3413B|  67k  490k|   0     0 |  18   610 |0.02 0.07 0.08| 199M 42.1M  298M 1126M
  1   1  95   0   0   3|   0  2048B|  69k  513k|   0     0 |  18   692 |0.02 0.06 0.08| 199M 42.2M  298M 1126M
  1   1  94   0   0   3|   0  2048B|  70k  509k|   0     0 |  18   745 |0.02 0.06 0.08| 199M 42.2M  298M 1126M
  1   1  93   0   0   4|   0  3413B|  71k  516k|   0     0 |  18   700 |0.02 0.06 0.08| 199M 42.2M  298M 1126M
  1   1  94   0   0   3|   0  2731B|  70k  508k|   0     0 |  18   691 |0.02 0.06 0.08| 199M 42.2M  298M 1126M
  0   1  96   0   0   2|   0  2731B|  44k  321k|   0     0 |  18   481 |0.01 0.06 0.08| 199M 42.2M  298M 1126M
 14   2  84   0   0   0|   0  4096B|3305B 1584B|   0     0 |  18   144 |0.41 0.14 0.10| 242M 42.2M  298M 1084M

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   3  91   1   0   1|  17k   51k|   0     0 |   0     0 |  18  1835 |0.46 0.15 0.11| 199M 42.2M  298M 1126M
  1   1  98   0   0   0|   0  3413B| 173k   12k|   0     0 |  18   264 |0.42 0.15 0.11| 199M 42.2M  298M 1126M
  1   1  97   0   0   1|   0  2048B| 525k   33k|   0     0 |  18   629 |0.36 0.15 0.10| 199M 42.2M  298M 1126M
  1   1  97   0   0   1|   0  3413B| 549k   35k|   0     0 |  18   741 |0.33 0.14 0.10| 199M 42.2M  298M 1126M
  1   1  96   0   0   2|   0  2731B| 535k   34k|   0     0 |  18   645 |0.30 0.14 0.10| 200M 42.2M  298M 1126M
  1   1  97   0   0   1|   0  4096B| 546k   35k|   0     0 |  18   689 |0.28 0.14 0.10| 199M 42.2M  298M 1126M
  1   1  96   0   0   1|   0  2048B| 552k   35k|   0     0 |  18   695 |0.26 0.14 0.10| 199M 42.2M  298M 1126M
  1   1  98   0   0   0|   0  2048B| 546k   35k|   0     0 |  18   655 |0.22 0.13 0.10| 199M 42.3M  298M 1126M
  1   1  97   0   0   1|   0  2731B| 537k   34k|   0     0 |  18   734 |0.20 0.13 0.10| 200M 42.3M  298M 1126M
  1   1  97   0   0   1|   0  2731B| 523k   33k|   0     0 |  18   657 |0.18 0.13 0.10| 200M 42.3M  298M 1126M
  1   1  97   1   0   1|   0  2048B| 524k   33k|   0     0 |  18   632 |0.17 0.12 0.10| 200M 42.3M  298M 1126M
  1   1  97   0   0   1|   0  2731B| 516k   33k|   0     0 |  18   594 |0.15 0.12 0.09| 200M 42.3M  298M 1126M
  1   1  98   0   0   0|   0  2731B|3884B 1904B|   0     0 |  18    47 |0.13 0.12 0.09| 200M 42.3M  298M 1126M
  1   0  99   0   0   0|   0  2731B|2696B 1277B|   0     0 |  18    70 |0.12 0.11 0.09| 200M 42.3M  298M 1126M
  1   1  97   1   0   1|   0  2048B|  48k  346k|   0     0 |  18   413 |0.11 0.11 0.09| 199M 42.3M  298M 1126M
  0   1  96   0   0   2|   0  2731B|  66k  481k|   0     0 |  18   573 |0.10 0.11 0.09| 199M 42.3M  298M 1126M
  1   1  94   0   0   4|   0  2731B|  68k  492k|   0     0 |  18   613 |0.09 0.11 0.09| 200M 42.3M  298M 1126M
  0   1  96   0   0   3|   0  4779B|  68k  495k|   0     0 |  18   628 |0.08 0.10 0.09| 200M 42.3M  298M 1126M
  0   1  96   0   0   2|   0  2048B|  68k  499k|   0     0 |  18   589 |0.07 0.10 0.09| 200M 42.3M  298M 1126M
  1   1  97   0   0   1|   0  2048B|  69k  499k|   0     0 |  18   585 |0.07 0.10 0.09| 200M 42.3M  298M 1125M
  1   1  97   0   0   1|   0  5461B|  70k  511k|   0     0 |  18   617 |0.06 0.10 0.09| 200M 42.4M  298M 1125M
  1   1  97   0   0   1|   0  2731B|  70k  520k|   0     0 |  18   651 |0.06 0.10 0.09| 200M 42.4M  298M 1126M
  1   1  97   0   0   1|   0  2048B|  71k  519k|   0     0 |  18   637 |0.05 0.09 0.09| 199M 42.4M  298M 1126M
  1   1  97   0   0   1|   0  2731B|  70k  513k|   0     0 |  18   672 |0.04 0.09 0.09| 200M 42.4M  298M 1126M
  1   1  98   1   0   0|   0  2731B|  45k  319k|   0     0 |  18   388 |0.04 0.09 0.08| 200M 42.4M  298M 1126M
 15   3  82   0   0   0|   0  3413B|4419B 2128B|   0     0 |  18   158 |0.04 0.09 0.08| 242M 42.4M  298M 1083M

------------------------------------------------------------------------
#client=4 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   3  91   1   0   1|  17k   50k|   0     0 |   0     0 |  18  1824 |0.03 0.09 0.08| 199M 42.4M  298M 1126M
  1   1  98   1   0   0|   0  3413B| 572k   38k|   0     0 |  18   423 |0.03 0.08 0.08| 200M 42.4M  298M 1125M
  1   1  97   1   0   0|   0  2731B|2028k  134k|   0     0 |  18  1159 |0.02 0.08 0.08| 200M 42.4M  298M 1126M
  2   2  96   0   0   0|   0  6827B|2056k  136k|   0     0 |  18  1228 |0.02 0.08 0.08| 200M 42.4M  298M 1126M
  1   2  96   0   0   0|   0  2731B|2060k  136k|   0     0 |  18  1180 |0.02 0.08 0.08| 200M 42.4M  298M 1126M
  1   2  96   1   0   0|   0  2731B|2060k  136k|   0     0 |  18  1079 |0.02 0.08 0.08| 200M 42.4M  298M 1125M
  1   2  96   1   0   0|   0  2048B|2066k  137k|   0     0 |  18  1091 |0.02 0.07 0.08| 200M 42.4M  298M 1126M
  1   2  96   1   0   0|   0  5461B|2094k  139k|   0     0 |  18  1228 |0.01 0.07 0.08| 200M 42.5M  298M 1126M
  2   2  96   1   0   0|   0  2048B|2059k  136k|   0     0 |  18  1020 |0.01 0.07 0.08| 200M 42.5M  298M 1126M
