
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  99   0   0   0|   0  2048B| 522k  524k|   0     0 |1183  2506 |0.25 0.26 0.45| 296M 41.8M  420M 13.0G
  0   0  99   0   0   0|   0  2731B| 530k  531k|   0     0 |1199  2535 |0.21 0.25 0.44| 295M 41.8M  420M 13.0G
  0   0  99   0   0   0|   0  2048B| 526k  528k|   0     0 |1035  2562 |0.20 0.25 0.44| 297M 41.8M  420M 13.0G
  0   0 100   0   0   0|   0  7509B| 527k  529k|   0     0 | 743  2400 |0.18 0.24 0.44| 297M 41.8M  420M 13.0G
  0   0  99   0   0   0|   0    55k| 521k  524k|   0     0 | 733  2355 |0.16 0.24 0.43| 297M 41.8M  420M 13.0G
  0   0 100   0   0   0|   0  2048B| 532k  533k|   0     0 | 755  2381 |0.15 0.23 0.43| 299M 41.8M  420M 13.0G
  0   0  99   0   0   0|   0  2048B| 545k  546k|   0     0 | 832  2565 |0.13 0.23 0.43| 299M 41.9M  420M 13.0G
  0   0  99   0   0   0|   0  3413B| 546k  546k|   0     0 | 809  2579 |0.12 0.22 0.42| 299M 41.9M  420M 13.0G
  0   0 100   0   0   0|   0  2048B| 543k  544k|   0     0 | 781  2592 |0.11 0.22 0.42| 301M 41.9M  420M 12.9G
  0   0  99   0   0   0|   0  9557B| 547k  548k|   0     0 | 906  2517 |0.18 0.23 0.43| 301M 41.9M  420M 12.9G
  8   1  91   0   0   0|   0    49k|8065B 8228B|   0     0 | 254  1113 |0.25 0.24 0.43| 216M 41.9M  421M 13.0G

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  97   0   0   0|  17k   36k|   0     0 |   0     0 |5269  9054 |0.29 0.25 0.43| 275M 41.9M  421M 13.0G
  2   0  98   0   0   0|   0  3413B| 926B 1012B|   0     0 | 108   341 |0.26 0.25 0.43| 276M 41.9M  421M 13.0G
  1   0  98   0   0   0|   0  3413B| 499k  526k|   0     0 |1208  2591 |0.24 0.24 0.43| 315M 41.9M  421M 12.9G
  1   0  99   0   0   0|   0  2731B| 531k  560k|   0     0 |1015  2554 |0.22 0.24 0.42| 317M 41.9M  421M 12.9G
  1   0  99   0   0   0|   0  7509B| 535k  563k|   0     0 |1202  2571 |0.19 0.23 0.42| 317M 41.9M  421M 12.9G
  0   0  99   0   0   0|   0    55k| 530k  560k|   0     0 |1102  2457 |0.17 0.23 0.42| 318M 41.9M  421M 12.9G
  0   0  99   0   0   0|   0  2048B| 540k  570k|   0     0 |1224  2450 |0.16 0.22 0.41| 318M 41.9M  421M 12.9G
  0   0  99   0   0   0|   0  7509B| 538k  567k|   0     0 |1201  2534 |0.15 0.22 0.41| 319M 41.9M  421M 12.9G
  0   0  99   0   0   0|   0  2731B| 550k  581k|   0     0 |1183  2609 |0.13 0.22 0.41| 319M 41.9M  421M 12.9G
  0   0  99   0   0   0|   0  2048B| 541k  570k|   0     0 |1145  2537 |0.19 0.22 0.41| 335M 41.9M  421M 12.9G
  0   0  99   0   0   0|   0  4096B| 542k  572k|   0     0 | 810  2602 |0.17 0.22 0.41| 334M 41.9M  421M 12.9G
  0   0  99   0   0   0|   0  9557B| 529k  558k|   0     0 | 710  2484 |0.16 0.22 0.40| 346M 42.0M  421M 12.9G
  6   1  92   0   0   0|   0    74k| 202k  213k|   0     0 | 419  1568 |0.39 0.26 0.42| 250M 42.0M  421M 13.0G
  9   2  90   0   0   0|   0    16k|5066B 3510B|   0     0 | 443  1107 |0.43 0.28 0.42| 256M 42.0M  421M 13.0G
  3   1  96   0   0   0|   0    80k| 144k  153k|   0     0 | 642  1413 |0.48 0.29 0.43| 316M 42.0M  421M 12.9G
  1   1  99   0   0   0|   0  2731B| 516k  544k|   0     0 |1306  2403 |0.57 0.31 0.43| 322M 42.0M  421M 12.9G
  1   0  99   0   0   0|   0  2048B| 522k  550k|   0     0 |1299  2472 |0.52 0.31 0.43| 321M 42.0M  421M 12.9G
  1   0  99   0   0   0|   0  9557B| 529k  557k|   0     0 |1298  2590 |0.48 0.30 0.43| 321M 42.0M  421M 12.9G
  0   0  99   0   0   0|   0    83k| 530k  559k|   0     0 |1196  2536 |0.44 0.30 0.42| 321M 42.0M  421M 12.9G
  0   0  99   0   0   0|   0  2731B| 522k  551k|   0     0 |1114  2513 |0.41 0.29 0.42| 321M 42.0M  421M 12.9G
  0   0 100   0   0   0|   0  2731B| 545k  574k|   0     0 |1139  2608 |0.34 0.28 0.42| 321M 42.0M  421M 12.9G
  0   0  99   0   0   0|   0  2048B| 546k  574k|   0     0 |1019  2627 |0.31 0.28 0.41| 321M 42.0M  421M 12.9G
  0   0  99   0   0   0|   0  2048B| 554k  584k|   0     0 | 694  2830 |0.29 0.27 0.41| 321M 42.0M  421M 12.9G
  0   0  99   0   0   0|   0  8875B| 543k  572k|   0     0 | 672  2730 |0.27 0.27 0.41| 321M 42.0M  421M 12.9G
  0   0  99   0   0   0|   0  2731B| 551k  580k|   0     0 | 672  2782 |0.24 0.26 0.41| 321M 42.0M  421M 12.9G
  8   2  91   0   0   0|   0    81k|  27k   27k|   0     0 | 357  1032 |0.21 0.25 0.40| 250M 42.0M  429M 13.0G

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  97   0   0   0|  17k   36k|   0     0 |   0     0 |5234  8999 |0.35 0.28 0.41| 286M 42.0M  429M 13.0G
  2   0  98   0   0   0|   0  3413B| 900B 1003B|   0     0 | 103   333 |0.32 0.28 0.41| 287M 42.0M  429M 13.0G
  1   0  98   0   0   0|   0    11k| 478k  504k|   0     0 |1250  2471 |0.30 0.27 0.41| 335M 42.1M  429M 12.9G
  1   1  99   0   0   0|   0  2048B| 539k  568k|   0     0 |1364  2589 |0.25 0.26 0.40| 340M 42.1M  429M 12.9G
  1   1  99   0   0   0|   0  7509B| 542k  571k|   0     0 |1360  2590 |0.23 0.26 0.40| 341M 42.1M  429M 12.9G
