
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|   0  2048B|2405B  974B|   0     0 |  18    35 |0.01 0.10 0.09| 191M 19.2M  129M 1327M
  0   0  99   1   0   0|   0  2048B|3152B 1369B|   0     0 |  18    55 |0.01 0.09 0.09| 191M 19.2M  129M 1327M
  0   1  98   1   0   0|   0  2048B|  49k  616k|   0     0 |  18  1028 |0.01 0.09 0.09| 191M 19.2M  129M 1327M
  1   2  96   0   0   1|   0  2048B| 120k 1551k|   0     0 |  18  2505 |0.01 0.09 0.09| 191M 19.2M  129M 1327M
  2   3  95   0   0   0|   0  2048B| 126k 1649k|   0     0 |  18  2681 |0.01 0.09 0.09| 191M 19.2M  129M 1326M
  1   3  96   1   0   0|   0  2731B| 132k 1731k|   0     0 |  18  2760 |0.01 0.09 0.09| 191M 19.3M  129M 1326M
  1   2  96   0   0   0|   0  2048B| 112k 1463k|   0     0 |  18  2406 |0.01 0.08 0.09| 191M 19.3M  129M 1327M
  1   2  97   1   0   0|   0  2048B| 111k 1454k|   0     0 |  18  2440 |   0 0.08 0.09| 190M 19.3M  129M 1327M
  1   2  97   0   0   0|   0  2048B| 117k 1540k|   0     0 |  18  2582 |   0 0.08 0.08| 191M 19.3M  129M 1327M
  1   3  96   1   0   0|   0  2048B| 124k 1629k|   0     0 |  18  2605 |   0 0.08 0.08| 191M 19.3M  129M 1327M
  1   3  96   0   0   0|   0  2048B| 142k 1869k|   0     0 |  18  2927 |   0 0.08 0.08| 191M 19.3M  129M 1326M
  1   2  96   1   0   0|   0  2731B| 143k 1900k|   0     0 |  18  3055 |   0 0.08 0.08| 191M 19.3M  129M 1326M
  1   1  97   0   0   0|   0  2048B|  87k 1130k|   0     0 |  18  1837 |   0 0.07 0.08| 191M 19.3M  129M 1327M
  0   0  99   1   0   0|   0  2731B|3170B 1360B|   0     0 |  18    41 |   0 0.07 0.08| 191M 19.3M  129M 1327M
 14   3  83   0   0   0|   0  2731B|1960B 1289B|   0     0 |  18   189 |0.32 0.14 0.10| 192M 19.3M  129M 1325M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   2  94   2   0   0|  40k  193k|   0     0 |   0     0 |  19  2833 |0.35 0.15 0.11| 191M 19.3M  129M 1326M
  1   0  99   0   0   0|   0  3413B|2405B  974B|   0     0 |  18    42 |0.32 0.15 0.11| 191M 19.3M  129M 1326M
  1   2  94   1   0   2|   0  2048B|1081k   70k|   0     0 |  18  1749 |0.27 0.14 0.10| 191M 19.4M  129M 1326M
  2   2  93   0   0   4|   0  4096B|1756k  111k|   0     0 |  18  2789 |0.25 0.14 0.10| 191M 19.4M  129M 1326M
  2   2  94   1   0   2|   0  3413B|1938k  125k|   0     0 |  18  2917 |0.23 0.14 0.10| 191M 19.4M  129M 1326M
  2   2  93   1   0   2|   0  2048B|1901k  122k|   0     0 |  18  2911 |0.21 0.13 0.10| 191M 19.4M  129M 1326M
