
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  96   0   0   1|   0  5461B| 132k 1968k|   0     0 | 593  4130 |0.09 0.12 0.06| 199M 20.2M  290M 2921M
  1   1  98   0   0   0|   0  5461B|  72k 1070k|   0     0 | 322  2292 |0.09 0.12 0.06| 196M 20.2M  290M 2924M
  0   0  99   0   0   0|   0  8875B|2576B 1113B|   0     0 |  35    95 |0.08 0.12 0.05| 193M 20.2M  290M 2927M
  0   0  99   1   0   0|   0  2048B|2405B  974B|   0     0 |  25    48 |0.07 0.12 0.05| 195M 20.2M  290M 2925M
  0   0  99   0   0   0|   0  2048B|2425B  983B|   0     0 |  24    46 |0.07 0.11 0.05| 193M 20.2M  290M 2927M
 15   4  81   0   0   0|   0  2731B|3617B 1873B|   0     0 |  62   252 |0.22 0.14 0.06| 204M 20.2M  290M 2916M
  2   2  95   0   0   1|   0  5461B|1446k  109k|   0     0 | 727  3200 |0.20 0.14 0.06| 197M 20.2M  290M 2923M
  1   1  96   0   0   1|   0  3413B|1609k  121k|   0     0 | 733  3515 |0.18 0.14 0.06| 197M 20.2M  290M 2923M
  2   2  96   0   0   1|   0  6144B|1719k  129k|   0     0 | 740  3683 |0.17 0.14 0.06| 197M 20.2M  290M 2923M
  1   2  96   0   0   1|   0  2731B|1606k  124k|   0     0 | 771  3645 |0.15 0.13 0.06| 197M 20.2M  290M 2923M
  1   1  97   0   0   1|   0  2731B|1397k  105k|   0     0 | 437  3058 |0.13 0.13 0.06| 197M 20.3M  290M 2923M
  1   1  96   0   0   1|   0  9557B|1510k  113k|   0     0 | 320  3308 |0.12 0.13 0.06| 197M 20.3M  290M 2923M
  1   1  97   0   0   1|   0  3413B|1597k  120k|   0     0 | 963  3461 |0.11 0.12 0.06| 199M 20.3M  290M 2920M
  2   1  95   1   0   1|   0  2731B|1706k  128k|   0     0 | 958  3611 |0.10 0.12 0.06| 197M 20.3M  290M 2923M
  1   2  95   0   0   2|   0  4096B|1907k  143k|   0     0 | 591  4031 |0.09 0.12 0.06| 197M 20.3M  290M 2923M
  2   2  95   0   0   2|   0  2731B|1918k  144k|   0     0 | 573  4076 |0.16 0.13 0.06| 199M 20.3M  290M 2920M
  1   0  99   0   0   0|   0  7509B| 131k   11k|   0     0 |  97   376 |0.15 0.13 0.06| 193M 20.3M  290M 2927M
  0   0  99   1   0   0|   0  4096B|2405B  974B|   0     0 |  21    40 |0.13 0.13 0.06| 193M 20.3M  290M 2927M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  96   1   0   0|  80k  309k|   0     0 |   0     0 | 124   465 |0.12 0.12 0.06| 193M 20.3M  290M 2927M
  0   0  99   0   0   0|   0  2048B|2422B  985B|   0     0 |  23    50 |0.11 0.12 0.06| 194M 20.3M  290M 2925M
  0   0 100   0   0   0|   0  4779B|1203B  487B|   0     0 |  23    36 |0.10 0.12 0.06| 192M 20.3M  290M 2927M
 15   5  79   0   0   0|   0  8192B|  23k  287k|   0     0 | 133   890 |0.09 0.11 0.06| 197M 20.3M  290M 2923M
  1   2  96   0   0   1|   0  2731B| 112k 1659k|   0     0 | 649  3585 |0.08 0.11 0.06| 197M 20.4M  290M 2922M
  1   1  96   0   0   2|   0  3413B| 120k 1809k|   0     0 | 271  3859 |0.07 0.11 0.06| 197M 20.4M  290M 2922M
  2   2  96   0   0   1|   0  5461B| 124k 1845k|   0     0 | 820  3870 |0.07 0.11 0.06| 197M 20.4M  290M 2923M
  2   2  95   0   0   1|   0  2731B| 124k 1840k|   0     0 | 327  3906 |0.06 0.10 0.06| 197M 20.4M  290M 2923M
