
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0 100   0   0   0|  47k  940B|   0     0 |   0     0 |  32    55 |0.41 0.17 0.06| 264M 19.3M  148M 13.3G
  1   0  98   1   0   0| 372k 6827B| 760B  894B|   0     0 | 121   316 |0.38 0.17 0.06| 281M 19.3M  151M 13.2G
  1   0  98   0   0   0|   0    13k| 223B  328B|   0     0 |  69   236 |0.35 0.16 0.06| 273M 19.3M  151M 13.3G
  1   1  98   0   0   0| 683B 2048B| 641k  641k|   0     0 |1772  3591 |0.32 0.16 0.06| 285M 19.3M  151M 13.2G
  1   1  98   0   0   0| 683B 2048B| 989k  989k|   0     0 |2392  5287 |0.27 0.15 0.06| 296M 19.3M  151M 13.2G
  0   1  99   0   0   0|   0    11k|1070k 1068k|   0     0 |2245  5806 |0.25 0.15 0.06| 298M 19.3M  151M 13.2G
  0   1  99   0   0   0|   0  4096B| 984k  984k|   0     0 |1940  5398 |0.23 0.15 0.06| 316M 19.3M  151M 13.2G
  0   1  99   0   0   0|   0  4779B|1087k 1087k|   0     0 |2065  5885 |0.21 0.15 0.06| 315M 19.3M  151M 13.2G
  0   1  99   0   0   0|   0  4779B|1054k 1054k|   0     0 |1975  5707 |0.19 0.14 0.06| 315M 19.3M  151M 13.2G
  0   1  99   0   0   0|   0  2048B|1105k 1104k|   0     0 |1390  5782 |0.16 0.14 0.06| 315M 19.3M  151M 13.2G
  0   0  99   0   0   0|   0  5461B| 960k  960k|   0     0 |1094  5010 |0.15 0.14 0.06| 315M 19.3M  151M 13.2G
  0   1  99   0   0   0|   0  2048B|1192k 1192k|   0     0 |1306  6197 |0.14 0.13 0.06| 316M 19.3M  151M 13.2G
  0   1  99   0   0   0|   0  2731B|1104k 1103k|   0     0 |1106  5745 |0.13 0.13 0.05| 316M 19.3M  151M 13.2G
  4   1  95   0   0   0|  72k   25k| 361k  360k|   0     0 | 585  2501 |0.12 0.13 0.05| 226M 19.4M  152M 13.3G
  5   1  93   1   0   0|  25k   13k|2346B 1955B|   0     0 | 209   543 |0.33 0.17 0.07| 270M 19.4M  152M 13.3G
  7   1  91   0   0   0|   0    43k|1607B 1820B|   0     0 | 360   985 |0.31 0.17 0.07| 275M 19.4M  152M 13.3G
  0   0 100   0   0   0|   0    16k|  49k   49k|   0     0 | 211   434 |0.28 0.17 0.07| 283M 19.4M  152M 13.2G
  2   1  98   0   0   0|   0  2048B| 933k  932k|   0     0 |2500  4925 |0.26 0.17 0.07| 284M 19.4M  152M 13.2G
