
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
 10   2  88   1   0   0| 683B   57k|3036B 3126B|   0     0 | 409  1188 |0.50 0.31 0.16| 292M 19.3M  303M 13.1G
  1   0  99   0   0   0|   0    44k|  34k   36k|   0     0 | 214   468 |0.42 0.30 0.16| 283M 19.3M  303M 13.1G
  1   0  99   0   0   0|   0  2048B| 265k  279k|   0     0 | 799  1527 |0.39 0.29 0.16| 285M 19.3M  303M 13.1G
  0   0  99   0   0   0|   0  2048B| 269k  282k|   0     0 | 783  1484 |0.36 0.29 0.16| 286M 19.3M  303M 13.1G
  0   0  99   0   0   0|   0  2048B| 270k  285k|   0     0 | 785  1490 |0.33 0.28 0.16| 286M 19.3M  303M 13.1G
  0   0  99   0   0   0|   0    12k| 268k  283k|   0     0 | 778  1501 |0.30 0.28 0.16| 286M 19.3M  303M 13.1G
  0   0  99   0   0   0|   0    13k| 268k  283k|   0     0 | 752  1488 |0.26 0.27 0.15| 285M 19.3M  303M 13.1G
  0   0 100   0   0   0|   0  2048B| 276k  290k|   0     0 | 737  1535 |0.24 0.26 0.15| 287M 19.3M  303M 13.1G
  0   0 100   0   0   0|   0  2048B| 271k  286k|   0     0 | 727  1503 |0.22 0.26 0.15| 287M 19.3M  303M 13.1G
  0   0 100   0   0   0|   0  2048B| 271k  286k|   0     0 | 521  1476 |0.20 0.25 0.15| 287M 19.3M  303M 13.1G
  0   0 100   0   0   0|   0  5461B| 273k  288k|   0     0 | 492  1477 |0.18 0.25 0.15| 287M 19.3M  303M 13.1G
  0   0 100   0   0   0|   0  2048B| 276k  291k|   0     0 | 495  1495 |0.15 0.24 0.15| 287M 19.3M  303M 13.1G
  6   1  93   0   0   0|   0    49k|  59k   61k|   0     0 | 344  1085 |0.22 0.25 0.15| 208M 19.3M  303M 13.2G

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  97   1   0   0| 368k  297k|   0     0 |   0     0 | 248   598 |0.28 0.26 0.16| 270M 19.4M  304M 13.1G
  2   0  98   0   0   0|   0    41k| 606B  460B|   0     0 |  59   236 |0.32 0.27 0.16| 275M 19.4M  304M 13.1G
  0   0 100   0   0   0|  21k 3413B| 212B  315B|   0     0 |  65   224 |0.30 0.27 0.16| 271M 19.5M  304M 13.1G
  1   0  99   0   0   0|   0  7509B| 258k  270k|   0     0 | 581  1964 |0.27 0.26 0.16| 312M 19.5M  304M 13.1G
  0   0  99   0   0   0|   0  8875B| 263k  277k|   0     0 | 522  1451 |0.25 0.26 0.16| 312M 19.5M  304M 13.1G
  0   0  99   0   0   0|   0    49k| 258k  273k|   0     0 | 530  1437 |0.23 0.25 0.16| 313M 19.5M  304M 13.1G
  0   0 100   0   0   0|   0  2048B| 263k  278k|   0     0 | 530  1449 |0.19 0.25 0.16| 313M 19.5M  304M 13.1G
  1   0  99   0   0   0|   0     0 | 260k  273k|   0     0 | 636  1631 |0.18 0.24 0.16| 314M 19.5M  304M 13.1G
  0   0 100   0   0   0|   0  3413B| 263k  278k|   0     0 | 632  1640 |0.16 0.24 0.15| 314M 19.5M  304M 13.1G
  0   0  99   0   0   0|2731B 3413B| 263k  277k|   0     0 | 642  1692 |0.15 0.23 0.15| 312M 19.6M  304M 13.1G
  0   0 100   0   0   0|   0    10k| 260k  275k|   0     0 | 631  1617 |0.14 0.23 0.15| 327M 19.6M  304M 13.1G
  0   0 100   0   0   0|   0  4096B| 272k  286k|   0     0 | 666  1550 |0.13 0.22 0.15| 337M 19.6M  304M 13.0G
  0   0 100   0   0   0|   0  2048B| 270k  285k|   0     0 | 746  1469 |0.11 0.22 0.15| 337M 19.6M  304M 13.0G
  7   1  92   1   0   0|   0    82k|  93k   98k|   0     0 | 480  1186 |0.18 0.23 0.15| 207M 19.6M  304M 13.2G
  9   2  90   0   0   0|   0    99k|3861B 4479B|   0     0 | 502  1386 |0.32 0.26 0.16| 275M 19.6M  304M 13.1G
  2   0  98   0   0   0|   0    88k|7397B 6260B|   0     0 | 103   311 |0.30 0.25 0.16| 306M 19.6M  304M 13.1G
  1   0  99   0   0   0|   0  2048B| 257k  271k|   0     0 | 808  1558 |0.27 0.25 0.16| 309M 19.6M  304M 13.1G
  0   0 100   0   0   0|   0     0 | 268k  283k|   0     0 | 604  1461 |0.23 0.24 0.16| 309M 19.6M  304M 13.1G
  0   0  99   0   0   0|   0  2048B| 265k  280k|   0     0 | 539  1451 |0.29 0.25 0.17| 311M 19.6M  304M 13.1G
  0   0  99   0   0   0|   0  7509B| 270k  285k|   0     0 | 614  1489 |0.27 0.25 0.16| 311M 19.6M  304M 13.1G
