
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  98   2   0   0| 327k 5093B|   0     0 |   0     0 |  83   154 |0.20 0.14 0.12| 225M 17.9M  167M 13.3G
  4   1  90   5   0   0|1477k   10k|3049B 2071B|   0     0 | 416   972 |0.26 0.16 0.12| 260M 17.9M  176M 13.3G
  0   0 100   0   0   0| 683B  197k| 157k  158k|   0     0 | 507  1062 |0.22 0.15 0.12| 268M 17.9M  176M 13.2G
  0   0 100   0   0   0|   0  4779B| 262k  264k|   0     0 | 619  1437 |0.20 0.15 0.12| 269M 18.0M  176M 13.2G
  1   0  99   0   0   0|   0  2731B| 266k  267k|   0     0 | 386  1514 |0.18 0.15 0.12| 274M 18.0M  176M 13.2G
  0   0  99   0   0   0|   0  9557B| 272k  272k|   0     0 | 304  1621 |0.17 0.14 0.12| 274M 18.0M  176M 13.2G
  1   0  99   0   0   0| 683B 2048B| 262k  264k|   0     0 | 370  1543 |0.16 0.14 0.12| 273M 18.0M  176M 13.2G
  0   0 100   0   0   0|   0  2048B| 268k  269k|   0     0 | 600  1456 |0.13 0.14 0.11| 275M 18.0M  176M 13.2G
  0   0 100   0   0   0|   0  2048B| 270k  271k|   0     0 | 608  1459 |0.12 0.13 0.11| 283M 18.0M  176M 13.2G
  0   0 100   0   0   0|   0  5461B| 271k  270k|   0     0 | 608  1479 |0.11 0.13 0.11| 283M 18.0M  176M 13.2G
  0   0 100   0   0   0|   0  5461B| 270k  271k|   0     0 | 605  1454 |0.10 0.13 0.11| 285M 18.0M  176M 13.2G
  0   0 100   0   0   0|   0  2731B| 269k  270k|   0     0 | 603  1458 |0.09 0.13 0.11| 285M 18.0M  176M 13.2G
  1   0  98   0   0   0|   0  2731B| 199k  200k|   0     0 | 492  1230 |0.16 0.14 0.11| 327M 18.0M  176M 13.2G
  7   1  92   1   0   0|  95k   35k|4765B 3418B|   0     0 | 338  1016 |0.23 0.15 0.12| 235M 18.0M  177M 13.3G
  6   1  93   0   0   0|   0    36k|1102B 1419B|   0     0 | 359   928 |0.21 0.15 0.12| 263M 18.0M  177M 13.2G
