
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  98   1   0   1|   0  2048B|  69k  501k|   0     0 |  18   721 |   0 0.12 0.17| 189M 18.6M  129M 1330M
  1   2  96   1   0   1|   0  2048B|  69k  498k|   0     0 |  18   720 |   0 0.12 0.17| 189M 18.6M  129M 1330M
  1   1  97   0   0   1|   0  2048B|  68k  505k|   0     0 |  18   712 |   0 0.11 0.17| 189M 18.6M  129M 1330M
  1   1  97   1   0   1|   0  2048B|  68k  494k|   0     0 |  18   714 |   0 0.11 0.17| 189M 18.6M  129M 1330M
  1   2  96   1   0   1|   0  2048B|  70k  511k|   0     0 |  18   778 |   0 0.11 0.17| 189M 18.6M  129M 1330M
  1   1  97   1   0   1|   0  2731B|  69k  504k|   0     0 |  18   750 |   0 0.11 0.17| 189M 18.6M  129M 1330M
  1   1  97   0   0   1|   0  2048B|  68k  505k|   0     0 |  18   726 |   0 0.11 0.16| 189M 18.6M  129M 1330M
  1   1  97   1   0   1|   0  2048B|  70k  509k|   0     0 |  18   696 |   0 0.10 0.16| 189M 18.7M  129M 1330M
  1   1  97   1   0   1|   0  2048B|  71k  516k|   0     0 |  18   725 |   0 0.10 0.16| 189M 18.7M  129M 1330M
  1   1  97   1   0   1|   0  2048B|  35k  239k|   0     0 |  18   370 |   0 0.10 0.16| 189M 18.7M  129M 1330M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   2  86   7   0   0| 178k  857k|   0     0 |   0     0 |  23   431 |0.08 0.11 0.16| 189M 18.8M  129M 1329M
  1   0  99   0   0   0|   0  3413B|2405B  974B|   0     0 |  18    43 |0.07 0.11 0.16| 190M 18.8M  129M 1329M
  1   1  97   0   0   1|   0  2048B| 393k   26k|   0     0 |  18   610 |0.07 0.10 0.16| 190M 18.8M  129M 1329M
  1   1  96   0   0   2|   0  2048B| 525k   33k|   0     0 |  18   756 |0.06 0.10 0.16| 190M 18.8M  129M 1329M
  1   1  96   0   0   1|   0  5461B| 517k   33k|   0     0 |  18   771 |0.05 0.10 0.16| 190M 18.8M  129M 1329M
  1   1  96   1   0   2|   0  2731B| 523k   33k|   0     0 |  18   799 |0.05 0.10 0.16| 190M 18.9M  129M 1329M
  1   1  96   1   0   1|   0  2048B| 520k   33k|   0     0 |  18   735 |0.04 0.10 0.16| 190M 18.9M  129M 1329M
  1   1  96   0   0   2|   0  6827B| 519k   33k|   0     0 |  20   759 |0.04 0.09 0.16| 190M 18.9M  129M 1329M
  1   1  96   1   0   1|   0  6144B| 535k   34k|   0     0 |  18   767 |0.04 0.09 0.15| 190M 18.9M  129M 1329M
  1   1  97   0   0   1|   0  2048B| 512k   33k|   0     0 |  18   760 |0.03 0.09 0.15| 190M 18.9M  129M 1329M
  1   1  96   1   0   2|   0  7509B| 536k   34k|   0     0 |  18   808 |0.03 0.09 0.15| 190M 18.9M  129M 1329M
  1   2  96   0   0   2|   0  4779B| 540k   34k|   0     0 |  18   815 |0.02 0.08 0.15| 190M 18.9M  129M 1329M
  1   1  97   1   0   1|   0  2048B| 301k   20k|   0     0 |  18   452 |0.02 0.08 0.15| 190M 18.9M  129M 1329M
