
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0 100   0   0   0|   0  2731B|1203B  487B|   0     0 |  21    34 |0.20 0.26 0.22| 185M 19.6M  131M 3094M
  5   1  93   0   0   0|   0  2048B|3705B 1947B|   0     0 |  43   174 |0.19 0.26 0.22| 216M 19.6M  131M 3063M
 11   3  86   0   0   0|   0  5461B| 393k   31k|   0     0 | 303  1168 |0.17 0.25 0.22| 189M 19.6M  131M 3090M
  1   1  98   0   0   1|   0  2731B| 501k   38k|   0     0 | 289  1393 |0.14 0.24 0.21| 189M 19.6M  131M 3090M
  1   0  98   1   0   1|   0  3413B| 499k   38k|   0     0 | 175  1382 |0.13 0.24 0.21| 189M 19.6M  131M 3090M
  0   0  99   0   0   0|   0  6144B| 506k   39k|   0     0 |  27  1327 |0.12 0.23 0.21| 189M 19.6M  131M 3090M
  1   0  99   0   0   0|   0  3413B| 497k   38k|   0     0 |  27  1311 |0.11 0.23 0.21| 189M 19.6M  131M 3090M
  0   0  99   0   0   0|   0  6144B| 511k   39k|   0     0 |  86  1378 |0.10 0.23 0.21| 189M 19.6M  131M 3090M
  0   0  99   0   0   0|   0  8192B| 504k   38k|   0     0 | 126  1371 |0.09 0.22 0.21| 189M 19.6M  131M 3090M
  1   0  99   0   0   0|   0  2731B| 506k   38k|   0     0 | 121  1372 |0.08 0.22 0.20| 189M 19.6M  131M 3090M
  1   1  98   0   0   0|   0  2731B| 510k   39k|   0     0 | 128  1342 |0.07 0.21 0.20| 189M 19.6M  131M 3090M
  1   1  98   0   0   1|   0  4096B| 516k   39k|   0     0 | 312  1413 |0.07 0.21 0.20| 189M 19.7M  131M 3090M
  0   0  99   0   0   0|  21k 3413B| 275k   21k|   0     0 | 227   846 |0.06 0.20 0.20| 185M 19.8M  131M 3093M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
