
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   1   0   0|  11k 7509B| 791k  790k|   0     0 |1245  3429 |0.46 0.20 0.08| 293M 21.1M  416M 13.0G
  0   0  99   0   0   0|   0  2048B| 806k  806k|   0     0 |1184  3410 |0.42 0.20 0.08| 292M 21.1M  416M 13.0G
  0   0  99   0   0   0|   0  2048B| 780k  780k|   0     0 | 894  3513 |0.39 0.20 0.08| 294M 21.1M  416M 13.0G
  0   0  99   0   0   0|   0  2048B| 797k  796k|   0     0 | 992  3597 |0.41 0.21 0.09| 294M 21.1M  416M 13.0G
  0   0  99   0   0   0|   0    13k| 806k  806k|   0     0 |1087  3675 |0.38 0.20 0.08| 296M 21.1M  416M 13.0G
  0   0  99   0   0   0|   0  3413B| 796k  796k|   0     0 |1312  3621 |0.35 0.20 0.08| 298M 21.1M  416M 13.0G
  0   0  99   0   0   0|   0  2731B| 785k  785k|   0     0 | 959  3674 |0.32 0.20 0.08| 300M 21.1M  416M 13.0G
  0   0  99   0   0   0|   0  2048B| 797k  796k|   0     0 |1066  3706 |0.29 0.19 0.08| 316M 21.1M  416M 13.0G
  6   1  93   0   0   0|   0    48k| 233k  233k|   0     0 | 523  1799 |0.41 0.22 0.09| 214M 21.1M  416M 13.1G

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  99   1   0   0| 144k  106k|   0     0 |   0     0 | 172   505 |0.46 0.23 0.10| 276M 21.1M  416M 13.0G
  2   0  98   0   0   0|   0    41k| 850B  848B|   0     0 |  95   353 |0.39 0.23 0.10| 277M 21.1M  416M 13.0G
  1   0  98   0   0   0|   0    11k| 764k  805k|   0     0 |1478  3491 |0.35 0.22 0.10| 320M 21.2M  416M 13.0G
  1   0  99   0   0   0|   0  2048B| 794k  838k|   0     0 |1121  3510 |0.33 0.22 0.09| 320M 21.2M  416M 13.0G
  0   0  99   0   0   0|   0  2048B| 784k  827k|   0     0 | 976  3445 |0.38 0.23 0.10| 320M 21.2M  416M 13.0G
  0   0  99   0   0   0|   0    50k| 812k  857k|   0     0 |1086  3667 |0.35 0.23 0.10| 320M 21.2M  416M 13.0G
  0   0  99   1   0   0|  62k 5461B| 811k  855k|   0     0 | 985  3576 |0.32 0.22 0.10| 321M 21.2M  417M 13.0G
  0   0  99   0   0   0|   0  2048B| 794k  838k|   0     0 | 872  3404 |0.27 0.22 0.10| 322M 21.2M  417M 13.0G
  0   0  99   0   0   0|   0    11k| 800k  845k|   0     0 | 702  3453 |0.25 0.21 0.09| 321M 21.2M  417M 13.0G
  0   0  99   0   0   0|   0  2731B| 798k  842k|   0     0 | 842  3608 |0.23 0.21 0.09| 329M 21.2M  417M 12.9G
  0   0  99   0   0   0|   0  6144B| 789k  831k|   0     0 |1155  3560 |0.21 0.20 0.09| 329M 21.2M  417M 12.9G
  0   0  99   0   0   0|   0  2048B| 805k  850k|   0     0 | 969  3535 |0.19 0.20 0.09| 329M 21.2M  417M 12.9G
  8   1  90   0   0   0|2731B   87k|  22k   23k|   0     0 | 339  1026 |0.16 0.19 0.09| 255M 21.2M  417M 13.0G
  9   2  89   0   0   0|   0    82k|3213B 4100B|   0     0 | 453  1299 |0.31 0.22 0.10| 273M 21.2M  417M 13.0G
  1   0  99   0   0   0|   0    21k| 544k  573k|   0     0 | 991  2471 |0.45 0.25 0.11| 314M 21.3M  417M 13.0G
  1   0  99   0   0   0|   0  4096B| 794k  835k|   0     0 |1289  3421 |0.41 0.25 0.11| 314M 21.3M  417M 13.0G
  1   0  99   0   0   0|   0  2048B| 826k  870k|   0     0 |1034  3633 |0.38 0.25 0.11| 317M 21.3M  417M 13.0G
  0   0  99   0   0   0|   0  3413B| 819k  862k|   0     0 |1207  3631 |0.32 0.24 0.11| 316M 21.3M  417M 13.0G
  0   0  99   0   0   0|   0    83k| 809k  852k|   0     0 |1186  3488 |0.29 0.23 0.11| 315M 21.3M  417M 13.0G
  0   0  99   0   0   0|   0  6144B| 815k  856k|   0     0 |1420  3580 |0.27 0.23 0.11| 315M 21.3M  417M 13.0G
  0   0  99   0   0   0|   0  2731B| 819k  863k|   0     0 |1289  3578 |0.25 0.22 0.10| 315M 21.3M  417M 13.0G
  0   0  99   0   0   0|   0  8875B| 801k  844k|   0     0 |1294  3436 |0.23 0.22 0.10| 315M 21.3M  417M 13.0G
  0   0  99   0   0   0|   0  2048B| 802k  846k|   0     0 |1267  3436 |0.19 0.21 0.10| 315M 21.3M  417M 13.0G
