
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  98   1   0   0|   0  2048B|  58k  747k|   0     0 |  18   743 |   0 0.06 0.08| 188M 18.9M  129M 1330M
  1   2  97   1   0   0|   0  2048B|  55k  727k|   0     0 |  18   716 |   0 0.06 0.08| 188M 18.9M  129M 1330M
  1   2  97   1   0   0|   0  2048B|  58k  741k|   0     0 |  18   751 |   0 0.06 0.08| 188M 18.9M  129M 1330M
  1   1  97   1   0   0|   0  2048B|  58k  746k|   0     0 |  18   743 |   0 0.06 0.08| 188M 18.9M  129M 1330M
  1   2  97   1   0   0|   0  3413B|  57k  732k|   0     0 |  18   716 |   0 0.06 0.07| 188M 18.9M  129M 1330M
  1   1  97   0   0   0|   0  2731B|  58k  747k|   0     0 |  18   755 |   0 0.05 0.07| 188M 18.9M  129M 1330M
  1   1  97   1   0   0|   0  2048B|  52k  681k|   0     0 |  18   672 |   0 0.05 0.07| 188M 18.9M  129M 1330M
  1   0  98   0   0   0|   0  2731B|2845B 1387B|   0     0 |  18    60 |   0 0.05 0.07| 189M 18.9M  129M 1329M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   1  92   4   0   0|  93k  448k|   0     0 |   0     0 |  21   226 |0.07 0.07 0.08| 188M 19.0M  129M 1330M
  1   0  98   1   0   0|   0  2731B| 273k   18k|   0     0 |  18   298 |0.07 0.07 0.08| 188M 19.0M  129M 1330M
  1   1  95   0   0   2|   0  2048B| 791k   50k|   0     0 |  18   784 |0.06 0.06 0.08| 188M 19.0M  129M 1330M
  1   1  96   0   0   1|   0  2731B| 781k   49k|   0     0 |  18   750 |0.06 0.06 0.08| 188M 19.0M  129M 1330M
  1   1  96   0   0   1|   0  3413B| 809k   51k|   0     0 |  18   806 |0.05 0.06 0.08| 188M 19.0M  129M 1330M
  1   1  97   1   0   1|   0  2048B| 806k   51k|   0     0 |  18   782 |0.04 0.06 0.07| 188M 19.0M  129M 1330M
  1   1  96   0   0   2|   0  2048B| 792k   50k|   0     0 |  18   794 |0.04 0.06 0.07| 188M 19.0M  129M 1330M
  1   1  96   0   0   2|   0  2731B| 787k   50k|   0     0 |  18   761 |0.04 0.06 0.07| 189M 19.0M  129M 1328M
  1   1  96   0   0   2|   0  2731B| 794k   50k|   0     0 |  18   770 |0.03 0.06 0.07| 188M 19.0M  131M 1328M
  1   1  96   0   0   2|   0  2731B| 796k   50k|   0     0 |  18   771 |0.03 0.05 0.07| 188M 19.0M  131M 1328M
  1   1  94   2   0   2|   0  2048B| 785k   50k|   0     0 |  18   764 |0.02 0.05 0.07| 188M 19.0M  131M 1328M
  1   1  96   1   0   1|   0  2048B| 518k   33k|   0     0 |  18   511 |0.02 0.05 0.07| 188M 19.0M  131M 1328M
  1   0  99   0   0   0|   0  2048B|3170B 1360B|   0     0 |  18    46 |0.02 0.05 0.07| 188M 19.1M  131M 1328M
  0   0  99   0   0   0|   0  2731B|  10k   61k|   0     0 |  18   111 |0.02 0.05 0.07| 188M 19.1M  131M 1328M
  1   1  96   0   0   1|   0  2731B|  99k  729k|   0     0 |  18   768 |0.02 0.05 0.07| 188M 19.1M  131M 1328M
  1   1  96   0   0   1|   0  4779B| 102k  760k|   0     0 |  18   766 |0.01 0.05 0.07| 188M 19.1M  131M 1328M
  1   1  97   1   0   1|   0  2048B| 102k  761k|   0     0 |  18   789 |0.01 0.05 0.07| 188M 19.1M  131M 1327M
  1   1  97   0   0   1|   0  7509B| 102k  756k|   0     0 |  19   782 |0.01 0.04 0.07| 188M 19.1M  131M 1328M
  0   1  98   0   0   1|   0  2048B| 101k  752k|   0     0 |  18   759 |0.01 0.04 0.07| 188M 19.1M  131M 1327M
  1   1  96   0   0   1|   0  8192B| 102k  763k|   0     0 |  18   799 |0.01 0.04 0.07| 188M 19.1M  131M 1327M
  1   1  97   0   0   1|   0  2048B| 102k  753k|   0     0 |  18   756 |0.01 0.04 0.07| 188M 19.1M  131M 1327M
  1   1  97   1   0   1|   0  2731B| 102k  756k|   0     0 |  18   777 |0.01 0.04 0.07| 188M 19.1M  131M 1327M
  0   1  97   0   0   1|   0  2731B| 101k  741k|   0     0 |  18   752 |0.01 0.04 0.06| 188M 19.1M  131M 1327M
  1   1  98   1   0   0|   0  3413B|  93k  691k|   0     0 |  18   697 |   0 0.04 0.06| 188M 19.1M  131M 1328M
  1   0  99   0   0   0|   0  2048B|3133B 1357B|   0     0 |  18    50 |   0 0.04 0.06| 189M 19.1M  131M 1327M

------------------------------------------------------------------------
