
------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  88   6   0   0| 379k 1306k|   0     0 |   0     0 | 124   339 |0.03 0.12 0.20| 218M 34.4M  830M 2348M
  0   0  99   0   0   0|   0  5461B|2405B  974B|   0     0 |  28    59 |0.02 0.12 0.20| 218M 34.4M  830M 2348M
  2   1  95   1   0   0|  45k 8192B|5425B   23k|   0     0 |  62   281 |0.18 0.15 0.21| 223M 34.4M  830M 2342M
  1   1  98   0   0   0|   0  4096B|  32k  464k|   0     0 |  54  1373 |0.17 0.14 0.20| 226M 34.4M  830M 2340M
  1   0  98   0   0   0|   0  2048B|  34k  477k|   0     0 |  83  1390 |0.15 0.14 0.20| 226M 34.4M  830M 2340M
  1   1  98   0   0   0|   0  2731B|  34k  477k|   0     0 |  64  1400 |0.14 0.14 0.20| 223M 34.4M  830M 2342M
  1   1  98   0   0   1|   0  9557B|  31k  458k|   0     0 |  75  1354 |0.12 0.13 0.20| 224M 34.4M  830M 2342M
  1   1  97   1   0   1|   0  4096B|  34k  487k|   0     0 |  42  1416 |0.11 0.13 0.20| 223M 34.4M  830M 2342M
  1   1  98   0   0   0|   0    11k|  34k  479k|   0     0 | 109  1409 |0.10 0.13 0.20| 223M 34.4M  830M 2342M
  1   1  98   0   0   0|   0  2048B|  33k  471k|   0     0 | 188  1378 |0.09 0.13 0.19| 224M 34.4M  830M 2342M
  1   1  98   0   0   0|   0  2048B|  34k  475k|   0     0 | 224  1408 |0.16 0.14 0.20| 224M 34.5M  830M 2342M
  1   1  98   0   0   0|   0  2731B|  33k  477k|   0     0 |  55  1398 |0.14 0.14 0.20| 223M 34.5M  830M 2342M
  1   1  97   1   0   1|   0  4096B|  35k  491k|   0     0 |  98  1428 |0.13 0.13 0.19| 223M 34.5M  830M 2342M
  1   0  98   1   0   0|   0  2731B|  12k  138k|   0     0 |  75   496 |0.12 0.13 0.19| 219M 34.5M  830M 2346M
  0   0  99   0   0   0|   0  8192B|2405B  974B|   0     0 |  28    49 |0.11 0.13 0.19| 219M 34.5M  830M 2347M
  3   1  95   0   0   0|   0  6144B| 203k   17k|   0     0 | 147   803 |0.10 0.13 0.19| 223M 34.5M  830M 2342M
  1   1  99   0   0   0|   0  2731B| 455k   35k|   0     0 | 235  1345 |0.08 0.12 0.19| 224M 34.5M  830M 2341M
  1   1  98   0   0   0|   0  3413B| 470k   36k|   0     0 | 235  1376 |0.08 0.12 0.18| 224M 34.5M  830M 2341M
  1   1  98   0   0   0|   0  3413B| 471k   36k|   0     0 | 131  1391 |0.15 0.13 0.19| 224M 34.5M  830M 2342M
  1   0  98   0   0   0|   0  2731B| 476k   36k|   0     0 | 179  1386 |0.22 0.15 0.19| 224M 34.5M  830M 2342M
  1   1  98   0   0   0|   0    13k| 474k   36k|   0     0 | 112  1388 |0.20 0.15 0.19| 224M 34.6M  830M 2342M
  1   1  96   2   0   1|   0  5461B| 478k   36k|   0     0 | 115  1385 |0.18 0.14 0.19| 226M 34.6M  830M 2340M
  1   1  98   0   0   0|   0  2731B| 475k   36k|   0     0 | 214  1393 |0.16 0.14 0.19| 224M 34.6M  830M 2342M
  1   1  98   1   0   0|   0  3413B| 475k   36k|   0     0 | 242  1393 |0.14 0.14 0.19| 223M 34.6M  830M 2342M
  1   1  98   0   0   0|   0  2731B| 482k   37k|   0     0 | 194  1400 |0.13 0.13 0.18| 223M 34.6M  830M 2342M
  1   1  98   0   0   0|   0  4779B| 431k   33k|   0     0 |  45  1295 |0.12 0.13 0.18| 222M 34.6M  830M 2344M
  1   0  97   3   0   0|   0  8192B|2465B 1050B|   0     0 |  31    85 |0.11 0.13 0.18| 219M 34.6M  830M 2346M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  89   6   0   0| 341k 1175k|   0     0 |   0     0 | 124   419 |0.10 0.13 0.18| 218M 34.6M  830M 2347M
  0   0  99   0   0   0|   0  3413B|2405B  974B|   0     0 |  27    65 |0.09 0.12 0.18| 218M 34.6M  830M 2347M
  3   2  95   0   0   0|   0  4779B|3627B 2217B|   0     0 |  62   206 |0.08 0.12 0.18| 222M 34.6M  830M 2343M
