
------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
 10   2  88   0   0   0|   0    88k|6345B 4718B|   0     0 | 401  1190 |0.61 0.61 0.62| 324M 72.4M 1023M 12.3G
  7   2  91   1   0   0|   0   166k|4208B 3907B|   0     0 | 444  1175 |0.56 0.60 0.62| 363M 72.4M 1022M 12.3G
  1   0  98   0   0   0|   0  2048B| 367k  386k|   0     0 | 880  2208 |0.51 0.59 0.61| 397M 72.4M 1022M 12.2G
  1   0  99   0   0   0|   0  2048B| 493k  518k|   0     0 |1106  2741 |0.47 0.58 0.61| 403M 72.4M 1022M 12.2G
  1   0  99   0   0   0|   0  2048B| 490k  514k|   0     0 |1145  2823 |0.43 0.57 0.61| 404M 72.4M 1022M 12.2G
  0   0  99   0   0   0|   0  2048B| 509k  534k|   0     0 |1124  2839 |0.37 0.55 0.60| 405M 72.4M 1022M 12.2G
  0   0  99   0   0   0|   0  5461B| 508k  533k|   0     0 |1022  2703 |0.34 0.54 0.60| 413M 72.4M 1022M 12.2G
  0   0  99   0   0   0|   0    11k| 498k  523k|   0     0 | 975  2717 |0.31 0.53 0.59| 409M 72.4M 1022M 12.2G
  0   0  99   0   0   0|   0  2048B| 505k  531k|   0     0 | 998  2771 |0.28 0.52 0.59| 409M 72.4M 1022M 12.2G
  0   0  99   0   0   0|   0  2048B| 499k  523k|   0     0 | 987  2746 |0.26 0.51 0.59| 409M 72.4M 1022M 12.2G
  0   0  99   0   0   0|   0  2048B| 497k  522k|   0     0 |1002  2735 |0.22 0.49 0.58| 409M 72.4M 1022M 12.2G
  0   0  99   0   0   0|   0  4096B| 503k  529k|   0     0 | 967  2770 |0.20 0.49 0.58| 409M 72.4M 1022M 12.2G
  3   1  96   0   0   0|   0  3413B| 267k  279k|   0     0 | 639  1958 |0.19 0.48 0.57| 401M 72.4M 1022M 12.2G

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  97   2   0   0| 199k 1016k|   0     0 |   0     0 | 286   714 |0.31 0.50 0.58| 362M 72.4M 1023M 12.3G
  2   0  98   0   0   0|   0    82k|3234B 1739B|   0     0 | 108   353 |0.29 0.49 0.57| 363M 72.4M 1023M 12.3G
  1   0  99   0   0   0|   0  3413B| 246k  257k|   0     0 | 706  1549 |0.26 0.48 0.57| 416M 72.5M 1023M 12.2G
  1   0  98   0   0   0|   0  2048B| 484k  509k|   0     0 |1035  2941 |0.22 0.46 0.56| 425M 72.5M 1023M 12.2G
  1   0  99   0   0   0|   0  2048B| 507k  534k|   0     0 |1277  2746 |0.20 0.45 0.56| 431M 72.5M 1023M 12.2G
  0   0  99   0   0   0|   0  5461B| 513k  539k|   0     0 |1163  2751 |0.19 0.45 0.56| 429M 72.5M 1023M 12.2G
  0   0  99   0   0   0|   0    12k| 510k  537k|   0     0 |1150  2724 |0.17 0.44 0.55| 430M 72.5M 1023M 12.2G
  0   0  99   0   0   0|   0  2048B| 512k  540k|   0     0 |1309  2718 |0.16 0.43 0.55| 422M 72.5M 1023M 12.2G
  0   0  99   0   0   0|   0  2731B| 518k  545k|   0     0 |1241  2898 |0.13 0.42 0.54| 426M 72.5M 1023M 12.2G
  0   0  99   0   0   0|   0  2048B| 505k  531k|   0     0 |1009  2971 |0.20 0.43 0.55| 418M 72.5M 1023M 12.2G
  0   0  99   0   0   0|   0  3413B| 523k  550k|   0     0 |1286  2850 |0.19 0.42 0.54| 418M 72.5M 1023M 12.2G
  0   0  99   0   0   0|   0  2048B| 540k  569k|   0     0 |1165  2939 |0.17 0.41 0.54| 418M 72.5M 1023M 12.2G
  0   0  99   0   0   0|   0  5461B| 448k  472k|   0     0 | 950  2448 |0.16 0.40 0.54| 419M 72.5M 1023M 12.2G
 11   2  87   0   0   0|   0   155k|6554B 5277B|   0     0 | 399  1152 |0.37 0.44 0.55| 319M 72.5M 1024M 12.3G
  8   1  91   0   0   0|   0   301k|4810B 5637B|   0     0 | 463  1286 |0.34 0.43 0.54| 371M 72.5M 1024M 12.3G
