
------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  96   2   0   0| 196k 1134k|   0     0 |   0     0 | 210   508 |0.53 0.87 0.69| 335M 67.2M  917M 12.4G
  2   0  97   1   0   0| 314k  283k|3439B 2756B|   0     0 | 206   542 |0.49 0.85 0.69| 347M 67.2M  919M 12.4G
  1   0  99   0   0   0| 683B 2731B| 347k  355k|   0     0 | 863  2138 |0.41 0.83 0.68| 366M 67.2M  919M 12.4G
  1   1  98   0   0   0|   0  2048B| 484k  492k|   0     0 |1082  2683 |0.38 0.81 0.68| 368M 67.2M  919M 12.4G
  1   1  99   0   0   0| 683B 2048B| 489k  496k|   0     0 |1028  2622 |0.43 0.82 0.68| 373M 67.2M  919M 12.4G
  0   0  99   0   0   0|   0  2048B| 498k  504k|   0     0 | 999  2696 |0.39 0.80 0.67| 372M 67.2M  919M 12.4G
  0   0  99   0   0   0|   0  8192B| 493k  501k|   0     0 | 940  2692 |0.36 0.79 0.67| 374M 67.2M  919M 12.4G
  0   0  99   0   0   0|   0  3413B| 491k  500k|   0     0 | 865  2675 |0.33 0.77 0.67| 376M 67.2M  919M 12.4G
  1   0  99   0   0   0|   0  2048B| 479k  487k|   0     0 | 907  2679 |0.44 0.78 0.67| 390M 67.2M  919M 12.3G
  0   0  99   0   0   0|   0  2048B| 484k  492k|   0     0 | 871  2629 |0.41 0.77 0.67| 390M 67.2M  919M 12.4G
  0   0  99   0   0   0|   0  2048B| 486k  494k|   0     0 | 862  2598 |0.37 0.76 0.66| 390M 67.2M  919M 12.4G
  0   0  99   0   0   0|   0  5461B| 486k  494k|   0     0 | 849  2634 |0.34 0.74 0.66| 388M 67.2M  919M 12.4G
  2   1  97   0   0   0|   0  2048B| 302k  306k|   0     0 | 678  1843 |0.32 0.73 0.65| 391M 67.2M  919M 12.3G
  8   2  90   0   0   0|  71k   52k|5430B 3828B|   0     0 | 465  1185 |0.35 0.72 0.65| 311M 67.2M  920M 12.4G
  4   1  95   0   0   0|   0    47k|  45k   46k|   0     0 | 458  1082 |0.32 0.71 0.65| 365M 67.2M  920M 12.4G
  1   0  99   0   0   0|   0  2731B| 487k  491k|   0     0 |1274  2773 |0.37 0.72 0.65| 370M 67.3M  920M 12.4G
  1   0  99   0   0   0|   0  2048B| 481k  487k|   0     0 |1150  2789 |0.34 0.70 0.65| 371M 67.3M  920M 12.4G
  1   0  99   0   0   0|   0  2048B| 495k  498k|   0     0 |1122  2881 |0.48 0.73 0.65| 375M 67.3M  920M 12.4G
  0   0  99   0   0   0|   0  6827B| 490k  492k|   0     0 |1051  2854 |0.40 0.70 0.65| 375M 67.3M  920M 12.4G
  0   0  99   0   0   0|1365B   58k| 495k  498k|   0     0 |1014  2920 |0.37 0.69 0.64| 375M 67.3M  920M 12.4G
  0   0  99   0   0   0|   0  2048B| 493k  496k|   0     0 | 999  2878 |0.42 0.70 0.64| 374M 67.3M  920M 12.4G
  0   0  99   0   0   0|   0  2048B| 488k  492k|   0     0 |1015  2714 |0.47 0.70 0.65| 377M 67.3M  920M 12.4G
  0   0  99   0   0   0|   0  2731B| 495k  498k|   0     0 |1023  2630 |0.43 0.69 0.64| 379M 67.3M  920M 12.4G
  0   0  99   0   0   0|   0  2048B| 496k  499k|   0     0 |1128  2600 |0.36 0.67 0.63| 377M 67.3M  920M 12.4G
  0   0  99   0   0   0|   0  4779B| 498k  501k|   0     0 |1070  2631 |0.33 0.65 0.63| 379M 67.3M  920M 12.4G
  6   1  93   0   0   0|   0    49k| 132k  134k|   0     0 | 493  1456 |0.39 0.66 0.63| 287M 67.3M  920M 12.4G

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  97   2   0   0| 186k 1071k|   0     0 |   0     0 | 247   609 |0.33 0.64 0.63| 351M 67.3M  920M 12.4G
  2   0  98   0   0   0|   0    52k|3257B 1765B|   0     0 | 115   352 |0.30 0.63 0.62| 352M 67.3M  920M 12.4G
  1   0  99   0   0   0|   0  2731B| 342k  359k|   0     0 | 917  2158 |0.25 0.61 0.62| 390M 67.3M  920M 12.3G
  1   0  99   0   0   0|   0  2048B| 485k  511k|   0     0 |1106  2888 |0.23 0.60 0.61| 398M 67.3M  920M 12.3G
  1   1  99   0   0   0|   0  2048B| 483k  508k|   0     0 |1038  2661 |0.21 0.59 0.61| 396M 67.3M  920M 12.3G
  0   0  99   0   0   0|1365B   11k| 491k  517k|   0     0 |1019  2640 |0.20 0.58 0.61| 396M 67.3M  920M 12.3G
  1   0  99   0   0   0|   0    15k| 489k  514k|   0     0 | 963  2688 |0.18 0.57 0.60| 401M 67.3M  920M 12.3G
  0   0  99   0   0   0|   0  2048B| 491k  518k|   0     0 | 946  2643 |0.15 0.55 0.60| 398M 67.4M  920M 12.3G
  0   0  99   0   0   0|   0  2048B| 503k  530k|   0     0 | 997  2691 |0.14 0.54 0.59| 402M 67.4M  920M 12.3G
  0   0  99   0   0   0|   0  2048B| 489k  515k|   0     0 | 934  2633 |0.13 0.53 0.59| 400M 67.4M  920M 12.3G
  0   1  99   0   0   0|   0  5461B| 498k  525k|   0     0 | 935  2705 |0.12 0.52 0.59| 400M 67.4M  920M 12.3G
  0   0  99   0   0   0|   0  6144B| 496k  522k|   0     0 | 934  2641 |0.11 0.51 0.58| 396M 67.4M  920M 12.3G
  2   1  97   0   0   0|   0  4096B| 310k  326k|   0     0 | 715  2078 |0.17 0.51 0.58| 397M 67.4M  920M 12.3G
  8   1  90   1   0   0|   0    87k|4982B 3666B|   0     0 | 353  1050 |0.24 0.52 0.58| 306M 67.4M  921M 12.4G
  4   1  95   0   0   0|   0    81k|  47k   49k|   0     0 | 531  1276 |0.22 0.51 0.58| 391M 67.4M  921M 12.3G
  1   0  99   0   0   0|   0  2048B| 484k  509k|   0     0 |1291  2555 |0.20 0.50 0.58| 389M 67.4M  921M 12.3G
  1   1  98   0   0   0|   0  2048B| 490k  515k|   0     0 |1133  2679 |0.18 0.49 0.57| 396M 67.4M  921M 12.3G
  1   0  99   0   0   0|   0  6144B| 494k  518k|   0     0 |1022  2628 |0.16 0.48 0.57| 393M 67.4M  921M 12.3G
  0   0  99   0   0   0|   0    85k| 500k  526k|   0     0 |1027  2637 |0.14 0.47 0.56| 390M 67.4M  921M 12.3G
  0   0  99   0   0   0|   0    10k| 507k  533k|   0     0 |1051  2790 |0.13 0.46 0.56| 396M 67.4M  921M 12.3G
  0   0  99   0   0   0|   0  2048B| 516k  542k|   0     0 |1092  2751 |0.12 0.45 0.56| 396M 67.4M  921M 12.3G
