
------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|   0  6827B|2405B  974B|   0     0 |  24    56 |0.15 0.18 0.18| 224M 36.4M  839M 2330M
 15   5  79   0   0   0|   0  4779B| 135k   12k|   0     0 | 195   678 |0.30 0.21 0.19| 230M 36.4M  839M 2324M
  0   0  99   0   0   0|   0  6827B| 447k   34k|   0     0 | 504  1304 |0.27 0.21 0.19| 227M 36.4M  839M 2327M
  1   1  98   0   0   0|   0  2731B| 452k   34k|   0     0 | 337  1324 |0.23 0.20 0.19| 229M 36.4M  839M 2325M
  0   0  99   0   0   0|   0  3413B| 454k   35k|   0     0 | 174  1313 |0.21 0.20 0.18| 227M 36.5M  839M 2327M
  1   0  98   0   0   0|   0  4779B| 463k   35k|   0     0 | 208  1346 |0.20 0.19 0.18| 229M 36.5M  839M 2325M
  1   0  98   0   0   0|   0  4096B| 466k   36k|   0     0 | 277  1343 |0.18 0.19 0.18| 229M 36.5M  839M 2325M
  0   1  99   0   0   0|   0  8192B| 465k   35k|   0     0 | 255  1361 |0.16 0.19 0.18| 229M 36.5M  839M 2325M
  1   1  97   2   0   0|   0  6144B| 464k   35k|   0     0 |  23  1354 |0.14 0.18 0.18| 227M 36.5M  839M 2327M
  1   0  99   0   0   0|   0  2731B| 464k   35k|   0     0 |  23  1350 |0.13 0.18 0.18| 229M 36.5M  839M 2325M
  0   1  98   0   0   1|   0  2731B| 464k   35k|   0     0 | 174  1379 |0.20 0.19 0.18| 227M 36.5M  839M 2327M
  1   1  99   0   0   0|   0  2731B| 456k   35k|   0     0 | 260  1332 |0.18 0.19 0.18| 227M 36.5M  839M 2327M
  1   1  98   0   0   0|   0  6144B|9674B 2058B|   0     0 |  50   236 |0.17 0.18 0.18| 230M 36.5M  839M 2324M

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  93   4   0   0| 195k  677k|   0     0 |   0     0 |  90   317 |0.39 0.23 0.20| 222M 36.5M  839M 2332M
  0   0  99   0   0   0|   0  8192B|1203B  487B|   0     0 |  28    54 |0.36 0.23 0.19| 224M 36.5M  839M 2330M
 16   5  79   0   0   0|   0  2731B|4189B 3351B|   0     0 |  68   286 |0.47 0.25 0.20| 227M 36.6M  840M 2327M
  1   0  98   0   0   0|   0  5461B|  32k  449k|   0     0 | 141  1325 |0.43 0.25 0.20| 227M 36.6M  840M 2327M
  1   1  98   0   0   1|   0  6827B|  31k  453k|   0     0 | 310  1345 |0.39 0.24 0.20| 227M 36.6M  840M 2327M
  1   0  99   0   0   0|   0  7509B|  32k  455k|   0     0 | 159  1340 |0.36 0.24 0.20| 227M 36.6M  840M 2327M
  1   1  98   0   0   1|   0  2731B|  33k  464k|   0     0 | 306  1335 |0.33 0.23 0.20| 229M 36.6M  840M 2325M
  1   0  98   0   0   0|   0  4096B|  33k  467k|   0     0 |  89  1358 |0.28 0.23 0.19| 226M 36.6M  840M 2327M
  1   0  99   0   0   0|   0    15k|  33k  470k|   0     0 |  23  1372 |0.26 0.22 0.19| 226M 36.6M  840M 2327M
  1   1  99   0   0   0|   0  2731B|  32k  462k|   0     0 |  63  1350 |0.24 0.22 0.19| 226M 36.6M  840M 2327M
  1   0  99   0   0   0|   0  2731B|  33k  468k|   0     0 |  28  1370 |0.22 0.22 0.19| 229M 36.6M  840M 2325M
  0   1  98   0   0   0|   0  5461B|  34k  479k|   0     0 |  30  1389 |0.20 0.21 0.19| 229M 36.6M  840M 2325M
  0   0  99   0   0   0|   0  2731B|  34k  486k|   0     0 |  27  1408 |0.17 0.20 0.18| 229M 36.6M  840M 2325M
  0   1  99   0   0   0|   0  5461B|  13k  158k|   0     0 |  29   550 |0.16 0.20 0.18| 223M 36.6M  839M 2331M
  0   0 100   0   0   0|   0  8875B|1225B  505B|   0     0 |  22    46 |0.14 0.20 0.18| 223M 36.7M  839M 2331M
 18   5  77   0   0   0|   0  6144B| 150k   13k|   0     0 |  65   743 |0.37 0.24 0.20| 227M 36.7M  840M 2327M
  0   0  99   0   0   0|   0  2731B| 438k   33k|   0     0 |  37  1324 |0.34 0.24 0.20| 227M 36.7M  840M 2327M
  0   1  98   0   0   1|   0  3413B| 438k   33k|   0     0 | 269  1319 |0.29 0.23 0.19| 227M 36.7M  840M 2327M
  0   0  99   0   0   0|   0  4096B| 459k   35k|   0     0 | 150  1327 |0.27 0.23 0.19| 227M 36.7M  840M 2327M
  0   0  98   1   0   0|   0  5461B| 457k   35k|   0     0 |  25  1331 |0.24 0.22 0.19| 227M 36.7M  840M 2326M
  1   1  98   0   0   0|   0  3413B| 464k   35k|   0     0 |  25  1347 |0.22 0.22 0.19| 229M 36.7M  840M 2324M
  1   1  98   0   0   1|   0    15k| 465k   35k|   0     0 | 302  1351 |0.21 0.22 0.19| 227M 36.7M  840M 2327M
  1   1  98   0   0   0|   0  2731B| 470k   36k|   0     0 | 240  1353 |0.17 0.21 0.18| 229M 36.7M  840M 2324M
  1   1  98   0   0   0|   0  3413B| 463k   35k|   0     0 | 318  1352 |0.16 0.20 0.18| 227M 36.7M  840M 2327M
  1   1  98   0   0   0|   0  2731B| 466k   36k|   0     0 | 316  1351 |0.15 0.20 0.18| 229M 36.7M  840M 2324M
  1   1  98   0   0   1|   0  2731B| 464k   35k|   0     0 | 208  1322 |0.13 0.20 0.18| 229M 36.7M  840M 2325M
  0   0  99   0   0   0|   0  3413B|2316B  730B|   0     0 |  35   111 |0.12 0.19 0.18| 223M 36.8M  839M 2331M

------------------------------------------------------------------------
#client=4 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  93   4   0   0| 185k  641k|   0     0 |   0     0 |  93   359 |0.27 0.22 0.19| 222M 36.8M  840M 2332M
  0   0 100   0   0   0|   0  4779B|1203B  487B|   0     0 |  25    60 |0.25 0.22 0.19| 222M 36.8M  839M 2331M
 16   5  79   0   0   0|   0  3413B|4281B 5164B|   0     0 |  62   318 |0.45 0.26 0.20| 226M 36.8M  840M 2327M
  1   1  96   0   0   1|   0  5461B| 121k 1802k|   0     0 | 905  2089 |0.42 0.26 0.20| 227M 36.8M  840M 2327M
  1   1  97   0   0   0|   0  3413B| 125k 1867k|   0     0 | 893  2141 |0.38 0.25 0.20| 229M 36.8M  840M 2325M
  1   1  97   0   0   1|   0  3413B| 128k 1910k|   0     0 | 497  2159 |0.43 0.27 0.20| 227M 36.8M  840M 2327M
  1   1  97   0   0   1|   0  6827B| 126k 1893k|   0     0 | 440  2149 |0.40 0.26 0.20| 228M 36.8M  840M 2326M
  1   1  97   0   0   1|   0  3413B| 128k 1908k|   0     0 | 617  2148 |0.34 0.25 0.20| 227M 36.8M  840M 2326M
  1   1  96   0   0   1|   0    10k| 129k 1917k|   0     0 | 447  2138 |0.31 0.25 0.20| 229M 36.8M  840M 2324M
  1   1  96   1   0   1|   0  3413B| 127k 1895k|   0     0 | 641  2060 |0.28 0.24 0.20| 227M 36.8M  840M 2326M
  1   1  98   0   0   0|   0  2731B| 127k 1912k|   0     0 | 447  2056 |0.26 0.24 0.19| 227M 36.8M  840M 2326M
  1   1  98   0   0   0|   0  2731B| 126k 1875k|   0     0 |1047  2118 |0.24 0.23 0.19| 227M 36.8M  840M 2326M
  1   2  97   0   0   1|   0  8875B| 128k 1908k|   0     0 | 581  2112 |0.28 0.24 0.20| 227M 36.9M  840M 2326M
  1   1  98   0   0   0|   0  2731B|  43k  613k|   0     0 | 171   792 |0.25 0.24 0.19| 223M 36.9M  840M 2331M
  0   0 100   0   0   0|   0  8875B|2480B 1053B|   0     0 |  24    49 |0.23 0.23 0.19| 223M 36.9M  840M 2331M
 16   5  78   0   0   0|   0  5461B| 305k   25k|   0     0 | 184   648 |0.21 0.23 0.19| 227M 36.9M  840M 2327M
  1   1  93   4   0   1|   0  6144B|1833k  138k|   0     0 | 597  2137 |0.20 0.23 0.19| 229M 36.9M  840M 2325M
  1   1  97   0   0   1|   0  8875B|1889k  142k|   0     0 | 582  2191 |0.17 0.22 0.19| 227M 36.9M  840M 2327M
  1   1  97   0   0   1|   0  3413B|1914k  143k|   0     0 | 113  2227 |0.15 0.22 0.19| 227M 36.9M  840M 2327M
  1   1  96   1   0   1|   0  4779B|1918k  144k|   0     0 | 345  2119 |0.14 0.21 0.18| 227M 36.9M  840M 2327M
  1   1  98   0   0   0|   0  3413B|1888k  142k|   0     0 | 386  2124 |0.13 0.21 0.18| 227M 36.9M  840M 2327M
  1   1  98   0   0   1|   0  8875B|1916k  144k|   0     0 | 480  2145 |0.12 0.20 0.18| 227M 36.9M  840M 2327M
  1   1  97   0   0   1|   0  2731B|1915k  144k|   0     0 | 523  2143 |0.18 0.21 0.18| 227M 36.9M  840M 2327M
  1   1  97   0   0   1|   0  4779B|1872k  140k|   0     0 | 970  2131 |0.17 0.21 0.18| 227M 36.9M  840M 2327M
  1   1  97   0   0   1|   0  4779B|1908k  143k|   0     0 | 590  2201 |0.15 0.21 0.18| 227M 37.0M  840M 2327M
  1   1  98   0   0   0|   0  2731B|1888k  142k|   0     0 | 763  2123 |0.14 0.20 0.18| 227M 37.0M  840M 2327M
  0   0  99   0   0   0|   0  4096B| 321k   25k|   0     0 |  43   449 |0.21 0.22 0.19| 225M 37.0M  840M 2329M

------------------------------------------------------------------------
#client=4 #workers=32 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  93   4   0   0| 175k  609k|   0     0 |   0     0 | 112   428 |0.19 0.21 0.18| 222M 37.0M  840M 2331M
  0   0  99   0   0   0|   0  4779B|2405B  974B|   0     0 |  23    58 |0.16 0.20 0.18| 224M 37.0M  840M 2329M
 16   6  78   0   0   0|   0  4779B|8151B   62k|   0     0 |  92   390 |0.39 0.25 0.20| 227M 37.0M  840M 2327M
  1   1  97   0   0   1|   0  5461B| 123k 1843k|   0     0 | 771  2313 |0.36 0.25 0.20| 227M 37.0M  840M 2326M
  1   1  96   0   0   1|   0  6827B| 127k 1896k|   0     0 | 818  2324 |0.33 0.24 0.19| 227M 37.0M  840M 2326M
